id	buffType	affectAttribute	callBackPointType	buffName	isPositive	buffDesc	buffIconObjName	dealSymbolType	buffValue
1001	ATTRIBUTE_CHG	ATTACK	ADD	攻击力下降	FALSE	描述	11	MULTIPLY	1.2
1002	ATTRIBUTE_CHG	ATTACK	ADD	攻击力上升	TRUE	描述	11	MULTIPLY	.8
1003	ATTRIBUTE_CHG	DEFEND	ADD	防御力下降	FALSE	描述	11	MULTIPLY	1.2
1004	ATTRIBUTE_CHG	DEFEND	ADD	防御力上升	TRUE	描述	11	MULTIPLY	.8
1005	ATTRIBUTE_CHG	MISS	ADD	闪避率下降	FALSE	描述	11	MULTIPLY	-.2
1006	ATTRIBUTE_CHG	MISS	ADD	闪避率上升	TRUE	描述	11	MULTIPLY	.2
1007	ATTRIBUTE_CHG	CRITICAL_CHANCE	ADD	暴击率下降	FALSE	描述	11	ADD	-.2
1008	ATTRIBUTE_CHG	CRITICAL_CHANCE	ADD	暴击率上升	TRUE	描述	11	ADD	.2
1009	ATTRIBUTE_CHG	PHYSICAL_LEVEL	ADD	物理穿透等级下降	FALSE	描述	12	LEVEL_UP	-1
1010	ATTRIBUTE_CHG	PHYSICAL_LEVEL	ADD	物理穿透等级上升	TRUE	描述	13	LEVEL_UP	1
1011	ATTRIBUTE_CHG	ARMOR	ADD	护甲等级上升	TRUE	描述	14	LEVEL_UP	1
1012	ATTRIBUTE_CHG	ARMOR	ADD	护甲等级下降	FALSE	描述	15	LEVEL_UP	-1
1013	ATTRIBUTE_CHG	MAGIC_RESISTENCE	ADD	法术抗性上升	TRUE	描述	16	LEVEL_UP	1
1014	ATTRIBUTE_CHG	MAGIC_RESISTENCE	ADD	法术抗性下降	FALSE	描述	17	LEVEL_UP	-1
1015	ATTRIBUTE_CHG	PHYSICAL_LEVEL	ADD	物理穿透等级下降	FALSE	描述	12	LEVEL_UP	-2
1016	ATTRIBUTE_CHG	PHYSICAL_LEVEL	ADD	物理穿透等级上升	TRUE	描述	13	LEVEL_UP	1
1017	ATTRIBUTE_CHG	ARMOR	ADD	护甲等级上升	TRUE	描述	14	LEVEL_UP	1
1018	ATTRIBUTE_CHG	ARMOR	ADD	护甲等级下降	FALSE	描述	15	LEVEL_UP	-2
1019	ATTRIBUTE_CHG	MAGIC_RESISTENCE	ADD	法术抗性上升	TRUE	描述	16	LEVEL_UP	2
1020	ATTRIBUTE_CHG	MAGIC_RESISTENCE	ADD	法术抗性下降	FALSE	描述	17	LEVEL_UP	-2
1021	ATTRIBUTE_CHG	PHYSICAL_LEVEL	ADD	物理穿透等级下降	FALSE	描述	12	LEVEL_UP	-3
1022	ATTRIBUTE_CHG	PHYSICAL_LEVEL	ADD	物理穿透等级上升	TRUE	描述	13	LEVEL_UP	3
1023	ATTRIBUTE_CHG	ARMOR	ADD	护甲等级上升	TRUE	描述	14	LEVEL_UP	3
1024	ATTRIBUTE_CHG	ARMOR	ADD	护甲等级下降	FALSE	描述	15	LEVEL_UP	-3
1025	ATTRIBUTE_CHG	MAGIC_RESISTENCE	ADD	法术抗性上升	TRUE	描述	16	LEVEL_UP	3
1026	ATTRIBUTE_CHG	MAGIC_RESISTENCE	ADD	法术抗性下降	FALSE	描述	17	LEVEL_UP	-3
